altitude,temp,N2,O2,O,He,H,Ar,N
165000,791.6397705,1.122013820e+16,7.875009100e+14,1.012404215e+16,1.467261806e+13,3.676573532e+11,1.709066997e+13,2.636398566e+13
166000,796.3305054,1.072179208e+16,7.441624083e+14,9.841697442e+15,1.453231545e+13,3.567194276e+11,1.603425377e+13,2.706190107e+13
167000,800.8815308,1.025014561e+16,7.036700606e+14,9.570358588e+15,1.439625642e+13,3.463497318e+11,1.505213861e+13,2.773898546e+13
168000,805.296875,9.803533436e+15,6.658016024e+14,9.309470463e+15,1.426422707e+13,3.365138924e+11,1.413835496e+13,2.839362824e+13
169000,809.5807495,9.380224681e+15,6.303591296e+14,9.058404929e+15,1.413599252e+13,3.271806812e+11,1.328738940e+13,2.902421458e+13
170000,813.7369995,8.978771403e+15,5.971550730e+14,8.816748057e+15,1.401133885e+13,3.183192637e+11,1.249433564e+13,2.962916114e+13
171000,817.7694702,8.597828205e+15,5.660249487e+14,8.583911974e+15,1.389014548e+13,3.099034911e+11,1.175469005e+13,3.020733546e+13
172000,821.6818848,8.236052909e+15,5.368138024e+14,8.359542346e+15,1.377213560e+13,3.019067556e+11,1.106428140e+13,3.075748764e+13
173000,825.4780273,7.892295001e+15,5.093838259e+14,8.143145250e+15,1.365720537e+13,2.943047434e+11,1.041938409e+13,3.127859846e+13
174000,829.1610718,7.565490403e+15,4.836050296e+14,7.934356153e+15,1.354516084e+13,2.870756639e+11,9.816673092e+12,3.176983115e+13
175000,832.7346802,7.254559466e+15,4.593596708e+14,7.732825550e+15,1.343593801e+13,2.801973658e+11,9.252871602e+12,3.223047058e+13
176000,836.2020264,6.958614208e+15,4.365431603e+14,7.538172800e+15,1.332928106e+13,2.736505160e+11,8.725215052e+12,3.266003442e+13
177000,839.5662842,6.676797245e+15,4.150525533e+14,7.350092424e+15,1.322514593e+13,2.674179441e+11,8.231014367e+12,3.305800257e+13
178000,842.8306274,6.408257099e+15,3.948011114e+14,7.168271426e+15,1.312338896e+13,2.614801531e+11,7.767924408e+12,3.342423871e+13
179000,845.9979858,6.152254499e+15,3.756996134e+14,6.992414527e+15,1.302388120e+13,2.558224957e+11,7.333713281e+12,3.375851844e+13
180000,849.0712891,5.908072187e+15,3.576760516e+14,6.822295704e+15,1.292656706e+13,2.504292598e+11,6.926328398e+12,3.406080822e+13
181000,852.0534058,5.675085243e+15,3.406554989e+14,6.657597667e+15,1.283127771e+13,2.452862894e+11,6.543944712e+12,3.433140794e+13
182000,854.9470215,5.452666067e+15,3.245728260e+14,6.498123921e+15,1.273796913e+13,2.403803628e+11,6.184790131e+12,3.457055877e+13
183000,857.7546997,5.240248796e+15,3.093701182e+14,6.343613546e+15,1.264655847e+13,2.356986348e+11,5.847316955e+12,3.477849768e+13
184000,860.479187,5.037301390e+15,2.949864741e+14,6.193890986e+15,1.255691361e+13,2.312290304e+11,5.530031489e+12,3.495588318e+13
185000,863.1229248,4.843305234e+15,2.813737598e+14,6.048743640e+15,1.246900519e+13,2.269607363e+11,5.231592604e+12,3.510305083e+13
186000,865.6882324,4.657815260e+15,2.684815766e+14,5.907972329e+15,1.238271368e+13,2.228836106e+11,4.950754591e+12,3.522081640e+13
187000,868.1775513,4.480372981e+15,2.562673271e+14,5.771406327e+15,1.229803907e+13,2.189868237e+11,4.686355628e+12,3.530984889e+13
188000,870.5930786,4.310584334e+15,2.446865853e+14,5.638843772e+15,1.221487021e+13,2.152627569e+11,4.437335605e+12,3.537080051e+13
189000,872.9371338,4.148028949e+15,2.337026427e+14,5.510156352e+15,1.213314210e+13,2.117004820e+11,4.202677928e+12,3.540477018e+13
190000,875.211792,3.992390877e+15,2.232796798e+14,5.385200184e+15,1.205279601e+13,2.082938388e+11,3.981487374e+12,3.541244156e+13
191000,877.4191284,3.843308535e+15,2.133832866e+14,5.263818502e+15,1.197379944e+13,2.050333901e+11,3.772893626e+12,3.539484646e+13
192000,879.5610962,3.700444770e+15,2.039832474e+14,5.145862594e+15,1.189609787e+13,2.019130409e+11,3.576109990e+12,3.535305861e+13
193000,881.6397705,3.563508059e+15,1.950518629e+14,5.031208979e+15,1.181963990e+13,1.989250580e+11,3.390396695e+12,3.528780782e+13
194000,883.6569824,3.432224330e+15,1.865590180e+14,4.919742767e+15,1.174432907e+13,1.960629371e+11,3.215065874e+12,3.520026431e+13
195000,885.614502,3.306319512e+15,1.784829360e+14,4.811334034e+15,1.167021362e+13,1.933209272e+11,3.049488646e+12,3.509139066e+13
196000,887.5142212,3.185523825e+15,1.707984007e+14,4.705858764e+15,1.159717926e+13,1.906927862e+11,2.893060768e+12,3.496235919e+13
197000,889.3577881,3.069606684e+15,1.634838533e+14,4.603217636e+15,1.152520605e+13,1.881730253e+11,2.745225183e+12,3.481403392e+13
198000,891.1469727,2.958349314e+15,1.565184565e+14,4.503350519e+15,1.145427303e+13,1.857571553e+11,2.605476741e+12,3.464752005e+13
199000,892.8832397,2.851521935e+15,1.498838729e+14,4.406096622e+15,1.138434664e+13,1.834391962e+11,2.473324446e+12,3.446379695e+13
200000,894.5682983,2.748951137e+15,1.435606408e+14,4.311403331e+15,1.131536502e+13,1.812151009e+11,2.348322914e+12,3.426391949e+13
201000,896.2036133,2.650408212e+15,1.375332918e+14,4.219155755e+15,1.124731558e+13,1.790801347e+11,2.230046949e+12,3.404876638e+13
202000,897.7907715,2.555738275e+15,1.317856021e+14,4.129321682e+15,1.118018365e+13,1.770300047e+11,2.118107398e+12,3.381953718e+13
203000,899.3310547,2.464755030e+15,1.263029002e+14,4.041762062e+15,1.111387590e+13,1.750611231e+11,2.012128084e+12,3.357698268e+13
204000,900.8259277,2.377310032e+15,1.210709254e+14,3.956421331e+15,1.104844580e+13,1.731695739e+11,1.911775822e+12,3.332218290e+13
205000,902.2767334,2.293234437e+15,1.160771787e+14,3.873229693e+15,1.098384199e+13,1.713514414e+11,1.816723325e+12,3.305588864e+13
206000,903.6848145,2.212377785e+15,1.113085234e+14,3.792121920e+15,1.092001307e+13,1.696041861e+11,1.726663885e+12,3.277897020e+13
207000,905.0513916,2.134621429e+15,1.067539707e+14,3.713018823e+15,1.085695590e+13,1.679235154e+11,1.641320153e+12,3.249243003e+13
208000,906.3778076,2.059811823e+15,1.024030597e+14,3.635860004e+15,1.079464428e+13,1.663072338e+11,1.560422384e+12,3.219693922e+13
209000,907.6651001,1.987842801e+15,9.824551463e+13,3.560601708e+15,1.073305092e+13,1.647519498e+11,1.483731763e+12,3.189340583e+13
210000,908.9144897,1.918574508e+15,9.427096699e+13,3.487159646e+15,1.067217374e+13,1.632551076e+11,1.410998469e+12,3.158248836e+13
211000,910.1271973,1.851904267e+15,9.047068430e+13,3.415468052e+15,1.061196766e+13,1.618138563e+11,1.342012522e+12,3.126494600e+13
212000,911.3041992,1.787726316e+15,8.683578301e+13,3.345514846e+15,1.055243370e+13,1.604261806e+11,1.276566307e+12,3.094147708e+13
213000,912.4465942,1.725926300e+15,8.335910765e+13,3.277224061e+15,1.049356875e+13,1.590891479e+11,1.214468719e+12,3.061263735e+13
214000,913.5554199,1.666421675e+15,8.003233671e+13,3.210524024e+15,1.043531301e+13,1.578009231e+11,1.155532849e+12,3.027926988e+13
215000,914.6316528,1.609102115e+15,7.684851604e+13,3.145393529e+15,1.037764657e+13,1.565593764e+11,1.099588043e+12,2.994173326e+13
216000,915.6762695,1.553892861e+15,7.380048177e+13,3.081801438e+15,1.032063130e+13,1.553622139e+11,1.046473212e+12,2.960083491e+13
217000,916.6901855,1.500698886e+15,7.088201794e+13,3.019657825e+15,1.026418645e+13,1.542078136e+11,9.960366408e+11,2.925685794e+13
218000,917.6743774,1.449446504e+15,6.808748320e+13,2.958967521e+15,1.020829735e+13,1.530937016e+11,9.481332982e+11,2.891045667e+13
219000,918.6296997,1.400054112e+15,6.541025057e+13,2.899658586e+15,1.015294722e+13,1.520189932e+11,9.026321777e+11,2.856216796e+13
220000,919.5569458,1.352439299e+15,6.284554692e+13,2.841693171e+15,1.009815598e+13,1.509813289e+11,8.593974231e+11,2.821234832e+13
221000,920.4570312,1.306553345e+15,6.038762186e+13,2.785056242e+15,1.004391209e+13,1.499796603e+11,8.183210312e+11,2.786144656e+13
222000,921.3306885,1.262305115e+15,5.803220140e+13,2.729681229e+15,9.990177817e+12,1.490123653e+11,7.792845128e+11,2.750984854e+13
223000,922.178772,1.219645890e+15,5.577408040e+13,2.675555514e+15,9.936941613e+12,1.480772649e+11,7.421767844e+11,2.715791917e+13
224000,923.0019531,1.178506411e+15,5.360940430e+13,2.622625411e+15,9.884186706e+12,1.471737692e+11,7.069041295e+11,2.680607369e+13
225000,923.8010254,1.138828564e+15,5.153327835e+13,2.570871055e+15,9.831940358e+12,1.463003546e+11,6.733671956e+11,2.645465602e+13
226000,924.5767212,1.100561210e+15,4.954223804e+13,2.520270435e+15,9.780167967e+12,1.454555955e+11,6.414771159e+11,2.610384444e+13
227000,925.3297119,1.063647309e+15,4.763260079e+13,2.470785164e+15,9.728820249e+12,1.446386893e+11,6.111488246e+11,2.575401012e+13
228000,926.0606689,1.028035990e+15,4.580031070e+13,2.422367192e+15,9.677962215e+12,1.438479974e+11,5.823030886e+11,2.540536699e+13
229000,926.7701416,9.936708158e+14,4.404241079e+13,2.375009272e+15,9.627542487e+12,1.430827500e+11,5.548648694e+11,2.505826527e+13
